REP_FULLNAME,REP_STATE,REP_TYPE,REP_PARTY,COMPANY_TICKER,COMPANY_CODE,COMPANY_COUNTRY,COMPANY_NAME,TRANSACTION_TYPE,TRANSACTION_DATE,TRANSACTION_PRICE,SHARE_TYPE,TRANSACTION_SHARE_PRICE,TRANSACTION_SHARE_QUANTITY,SHARE_PRICE_3_MONTH,SHARE_PRICE_6_MONTH,SHARE_PRICE_1_YEAR,,,,,,
Joseph Courtney,CT,Congress,Democratic,SYY,SYY US,US,Sysco Corp,Buy,12/31/2019,8000,Com,85.54,92,46.35,54.42,73.29,,,,,,
Joseph Courtney,CT,Congress,Democratic,TFC,TFC US,US,Truist Financial Corp,Buy,12/31/2019,8000,Com,56.32,142,32.56,36.74,47.37,,,,,,
Joseph Courtney,CT,Congress,Democratic,TMO,TMO US,US,Thermo Fisher Scientific Inc,Buy,12/31/2019,8000,Com,324.87,24,284.96,350.8,461.73,,,,,,
Joseph Courtney,CT,Congress,Democratic,UNP,UNP US,US,Union Pacific Corp,Buy,12/31/2019,8000,Com,180.79,44,140.2,165.51,205.98,,,,,,
Joseph Courtney,CT,Congress,Democratic,V,V US,US,Visa Inc,Buy,12/31/2019,8000,Com A,187.9,42,165.57,191.38,218.36,,,,,,
Joseph Courtney,CT,Congress,Democratic,WMT,WMT US,US,Walmart Inc,Buy,12/31/2019,8000,Com,118.84,66,115.19,119.06,144.18,,,,,,
Joseph Courtney,CT,Congress,Democratic,ZTS,ZTS US,US,Zoetis Inc,Buy,12/31/2019,8000,Com A,132.35,60,116.68,131.98,164.27,,,,,,
Rohit Khanna,CA,Congress,Democratic,ALB,ALB US,US,Albemarle Corp,Buy,12/31/2019,8000,Com,73.04,108,55.6,76.33,149.29,,,,,,
Suzan Delbene,WA,Congress,Democratic,MSFT,MSFT US,US,Microsoft Corp,Buy,12/31/2019,8000,Com,157.7,50,160.23,198.44,221.68,,,,,,
David Mckinley,VA,Congress,Republican,ACN,ACN US,US,Accenture Plc,Buy,12/30/2019,32500,Com A,210.64,154,169.82,212.72,257.76,,,,,,
David Mckinley,VA,Congress,Republican,WM,WM US,US,Waste Management Inc,Buy,12/30/2019,32500,Com,113.77,284,94.6,103.56,116.82,,,,,,
Dean Phillips,MN,Congress,Democratic,CMCSA,CMCSA US,US,Comcast Corp,Buy,12/30/2019,8000,Com A,45.18,176,35.49,38.94,51.55,,,,,,
Joshua Gottheimer,NJ,Congress,Democratic,DSY,DSY FP,FP,Dassault Systemes Sa,Buy,12/30/2019,8000,Ord,1.19,6722,#N/A,0.95,0.95,,,,,,
Rohit Khanna,CA,Congress,Democratic,URBN,URBN US,US,Urban Outfitters Inc,Buy,12/30/2019,16001,Com,27.57,580,14.56,15.03,25.42,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,PSIX,PSIX US,US,Power Solutions International Inc,Buy,12/30/2019,8000,Com,6.45,1240,4.6,4.31,3.2,,,,,,
Dean Phillips,MN,Congress,Democratic,CMCSA,CMCSA US,US,Comcast Corp,Buy,12/27/2019,8000,Com A,45.1,176,36.74,38.56,51.11,,,,,,
John Boozman,AR,Senate,Republican,GEM,GEM US,US,Goldman Sachs Activebeta Emerging Markets Equity Etf,Buy,12/27/2019,8000,Com,34.5,230,27.05,30.44,37.33,,,,,,
Kathy Castor,FL,Congress,Democratic,BIF,BIF US,US,Boulder Growth & Income Fund,Buy,12/27/2019,8000,Com,11.81,676,9.4,9.33,11.11,,,,,,
Rohit Khanna,CA,Congress,Democratic,ADBE,ADBE US,US,Adobe Inc,Buy,12/27/2019,8000,Com,330.79,24,322.67,431.68,498.95,,,,,,
Rohit Khanna,CA,Congress,Democratic,ALGN,ALGN US,US,Align Technology Inc,Buy,12/27/2019,8000,Com,277.64,28,191.64,257.65,520.86,,,,,,
Rohit Khanna,CA,Congress,Democratic,AMT,AMT US,US,American Tower Corp,Buy,12/27/2019,8000,Com,229.08,34,222.2,254.18,221.07,,,,,,
Rohit Khanna,CA,Congress,Democratic,AMZN,AMZN US,US,Amazon Com Inc,Buy,12/27/2019,8000,Com,1869.8,4,1955.49,2734.4,3283.96,,,,,,
Rohit Khanna,CA,Congress,Democratic,BKNG,BKNG US,US,Booking Holdings Inc,Buy,12/27/2019,8000,Com,2072.54,2,1406,1610.33,2137.92,,,,,,
Rohit Khanna,CA,Congress,Democratic,CME,CME US,US,CME Group Inc,Buy,12/27/2019,8000,Com A,202.78,38,174.84,167.47,180.39,,,,,,
Rohit Khanna,CA,Congress,Democratic,ECL,ECL US,US,Ecolab Inc,Buy,12/27/2019,8000,Com,191.68,40,161.69,196.67,214.7,,,,,,
Rohit Khanna,CA,Congress,Democratic,EL,EL US,US,Estee Lauder Companies Inc,Buy,12/27/2019,8000,Com A,207.95,38,172.98,187.75,263.82,,,,,,
Rohit Khanna,CA,Congress,Democratic,EQIX,EQIX US,US,Equinix Inc,Buy,12/27/2019,8000,Com NPV,582.5,12,587.58,689.63,709.88,,,,,,
Rohit Khanna,CA,Congress,Democratic,FB,FB US,US,Facebook Inc,Buy,12/27/2019,32500,Com A,208.1,156,163.34,234.02,277,,,,,,
Rohit Khanna,CA,Congress,Democratic,GOOGL,GOOGL US,US,Alphabet Inc,Buy,12/27/2019,8000,Com A NPV,1354.64,4,1162.92,1432.7,1773.96,,,,,,
Rohit Khanna,CA,Congress,Democratic,ILMN,ILMN US,US,Illumina Inc,Buy,12/27/2019,8000,Com,332.29,24,274.42,358.94,366.78,,,,,,
Rohit Khanna,CA,Congress,Democratic,INTU,INTU US,US,Intuit Inc,Buy,12/27/2019,8000,Com,267.06,28,248.39,286.13,381.12,,,,,,
Rohit Khanna,CA,Congress,Democratic,ISRG,ISRG US,US,Intuitive Surgical Inc,Buy,12/27/2019,8000,Com,199.29,40,167.16,184.99,268.39,,,,,,
Rohit Khanna,CA,Congress,Democratic,MSFT,MSFT US,US,Microsoft Corp,Buy,12/27/2019,8000,Com,158.96,50,156.11,197.84,224.96,,,,,,
Rohit Khanna,CA,Congress,Democratic,NFLX,NFLX US,US,Netflix Inc,Buy,12/27/2019,8000,Com,329.09,24,362.99,457.85,519.12,,,,,,
Rohit Khanna,CA,Congress,Democratic,NKE,NKE US,US,Nike Inc,Buy,12/27/2019,8000,Com B NPV,101.57,78,84.3,100.08,142.43,,,,,,
Rohit Khanna,CA,Congress,Democratic,NVDA,NVDA US,US,NVIDIA Corp,Buy,12/27/2019,8000,Com,59.22,134,64.31,92.36,129,,,,,,
Rohit Khanna,CA,Congress,Democratic,PYPL,PYPL US,US,Paypal Holdings Inc,Buy,12/27/2019,8000,Com,109.4,72,100.63,168,235.73,,,,,,
Rohit Khanna,CA,Congress,Democratic,SPGI,SPGI US,US,S&P Global Inc,Buy,12/27/2019,8000,Com,274.29,28,244.95,317.97,318.04,,,,,,
Rohit Khanna,CA,Congress,Democratic,V,V US,US,Visa Inc,Buy,12/27/2019,8000,Com A,189.39,42,168.88,191.41,212.63,,,,,,
Dean Phillips,MN,Congress,Democratic,CMCSA,CMCSA US,US,Comcast Corp,Buy,12/26/2019,8000,Com A,44.97,176,33.57,39.2,51.11,,,,,,
Gilbert Cisneros,CA,Congress,Democratic,INTU,INTU US,US,Intuit Inc,Buy,12/26/2019,32500,Com,266.87,120,232.58,293.83,381.12,,,,,,
Gilbert Cisneros,CA,Congress,Democratic,ECOL,ECOL US,US,Us Ecology Inc,Buy,12/24/2019,8000,Com,57,140,29.15,34.93,36.15,,,,,,
Gilbert Cisneros,CA,Congress,Democratic,FLEX,FLEX US,US,Flex Ltd,Buy,12/24/2019,8000,Ord,12.78,624,6.67,10.44,18.24,,,,,,
Gilbert Cisneros,CA,Congress,Democratic,GDDY,GDDY US,US,Godaddy Inc,Buy,12/24/2019,8000,Com A,68.4,116,48.77,82.41,84.66,,,,,,
Gilbert Cisneros,CA,Congress,Democratic,INTU,INTU US,US,Intuit Inc,Buy,12/24/2019,8000,Com,264.33,30,194.72,294.12,376.92,,,,,,
Gilbert Cisneros,CA,Congress,Democratic,VCYT,VCYT US,US,Veracyte Inc,Buy,12/24/2019,8000,Com,29.6,270,16.85,26.97,56.97,,,,,,
John Curtis,UT,Congress,Republican,SNAP,SNAP US,US,Snap Inc,Buy,12/23/2019,8000,Com Ser A,15.49,516,10.65,23.2,52.09,,,,,,
Rohit Khanna,CA,Congress,Democratic,URBN,URBN US,US,Urban Outfitters Inc,Buy,12/23/2019,8000,Com,27.41,290,13.85,17.28,25.76,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,PRN,PRN CN,CN,Profound Medical Corp,Buy,12/20/2019,8000,Com,68.51,116,51.48,68.29,91.64,,,,,,
James Hill,AR,Congress,Republican,AAWW,AAWW US,US,Atlas Air Worldwide Holdings Inc,Buy,12/19/2019,32500,Com,27.9,1164,19.61,41.17,55.27,,,,,,
Lloyd Doggett,TX,Congress,Democratic,HD,HD US,US,Home Depot Inc,Buy,12/19/2019,8000,Com,220.22,36,155.63,249.95,270.45,,,,,,
Lois Frankel,FL,Congress,Democratic,SU,SU CN,CN,Suncor Energy Inc,Buy,12/19/2019,8000,Com NPV,32.61,244,10.45,18.56,17.34,,,,,,
Rohit Khanna,CA,Congress,Democratic,MPLX,MPLX US,US,MPLX LP,Buy,12/19/2019,8000,Stock Unit,25.82,308,8.38,19.1,22.62,,,,,,
Rohit Khanna,CA,Congress,Democratic,URBN,URBN US,US,Urban Outfitters Inc,Buy,12/19/2019,24001,Com,27.69,866,15.13,18.35,27.12,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,NEWR,NEWR US,US,New Relic Inc,Buy,12/19/2019,8000,Com,68.15,116,36.82,70.46,69.24,,,,,,
Lois Frankel,FL,Congress,Democratic,NSP,NSP US,US,Insperity Inc,Buy,12/18/2019,8000,Com,85.1,94,37.86,58.14,86.85,,,,,,
Lois Frankel,FL,Congress,Democratic,SU,SU CN,CN,Suncor Energy Inc,Buy,12/18/2019,8000,Com NPV,32.28,246,12.59,18.22,17.57,,,,,,
Rohit Khanna,CA,Congress,Democratic,FDX,FDX US,US,Fedex Corp,Buy,12/18/2019,8000,Com,146.86,54,94.96,133.68,292.26,,,,,,
Lois Frankel,FL,Congress,Democratic,NSP,NSP US,US,Insperity Inc,Buy,12/17/2019,8000,Com,84.46,94,40.94,58.14,86.72,,,,,,
Rohit Khanna,CA,Congress,Democratic,LNG,LNG US,US,Cheniere Energy Inc,Buy,12/17/2019,8000,Com,61.52,130,35.27,47.05,59.05,,,,,,
Rohit Khanna,CA,Congress,Democratic,PAA,PAA US,US,Plains All American Pipeline Lp,Buy,12/17/2019,8000,Stock Unit,18.11,440,5.43,10.51,8.77,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,BRBR,BRBR US,US,Bellring Brands Inc,Buy,12/17/2019,32500,Com A,21.6,1504,17.01,19.71,24.39,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,NEWR,NEWR US,US,New Relic Inc,Buy,12/17/2019,8000,Com,66.72,118,37.73,67.24,64.73,,,,,,
Virginia Foxx,NC,Congress,Republican,DUK,DUK US,US,Duke Energy Corp,Buy,12/17/2019,8000,Com NPV,90.55,88,76.58,86.96,90.61,,,,,,
Joshua Gottheimer,NJ,Congress,Democratic,BMRN,BMRN US,US,Biomarin Pharmaceutical Inc,Buy,12/16/2019,8000,Com,83.5,94,73.82,105.76,85.03,,,,,,
Joshua Gottheimer,NJ,Congress,Democratic,SSNC,SSNC US,US,SS&C Technologies Holdings Inc,Buy,12/16/2019,8000,Com,60.17,132,38.31,56.76,72.2,,,,,,
Lloyd Doggett,TX,Congress,Democratic,KO,KO US,US,Coca Cola Co,Buy,12/16/2019,8000,Com,54.42,146,45.26,46.3,53.84,,,,,,
Rohit Khanna,CA,Congress,Democratic,AMZN,AMZN US,US,Amazon Com Inc,Buy,12/16/2019,8000,Com,1769.21,4,1689.15,2572.68,3165.12,,,,,,
Rohit Khanna,CA,Congress,Democratic,BIIB,BIIB US,US,Biogen Inc,Buy,12/16/2019,8000,Com,301.4,26,281.72,278.49,248.73,,,,,,
Rohit Khanna,CA,Congress,Democratic,EXC,EXC US,US,Exelon Corp,Buy,12/16/2019,8000,Com NPV,44.7,178,30.51,38.31,42.72,,,,,,
Rohit Khanna,CA,Congress,Democratic,NFLX,NFLX US,US,Netflix Inc,Buy,12/16/2019,8000,Com,304.21,26,298.84,425.5,519.78,,,,,,
Rohit Khanna,CA,Congress,Democratic,URBN,URBN US,US,Urban Outfitters Inc,Buy,12/16/2019,8000,Com,26.78,298,13.39,17.23,27.15,,,,,,
Alan Lowenthal,CA,Congress,Democratic,SH,SH US,US,ProShares Short S&P500,Buy,12/13/2019,32500,Ord,24.54,1324,30.34,21.86,18.51,,,,,,
Joshua Gottheimer,NJ,Congress,Democratic,SRPT,SRPT US,US,Sarepta Therapeutics Inc,Buy,12/13/2019,8000,Com,132.05,60,94.19,159.83,169.54,,,,,,
Rohit Khanna,CA,Congress,Democratic,URBN,URBN US,US,Urban Outfitters Inc,Buy,12/13/2019,16001,Com,26.75,598,14.62,18.65,26.08,,,,,,
Gilbert Cisneros,CA,Congress,Democratic,RHP,RHP US,US,Ryman Hospitality Properties Inc,Buy,12/12/2019,8000,Com,84.72,94,42.69,42.77,65.98,,,,,,
Gilbert Cisneros,CA,Congress,Democratic,VCYT,VCYT US,US,Veracyte Inc,Buy,12/12/2019,8000,Com,28.63,278,23.66,26.79,55.54,,,,,,
Lloyd Doggett,TX,Congress,Democratic,PPG,PPG US,US,PPG Industries Inc,Buy,12/12/2019,8000,Com,133.76,58,96.97,111.42,142.93,,,,,,
Rohit Khanna,CA,Congress,Democratic,LLY,LLY US,US,Eli Lilly & Co,Buy,12/12/2019,8000,Com NPV,121.7,64,140.02,149.13,160.04,,,,,,
Rohit Khanna,CA,Congress,Democratic,MMM,MMM US,US,3M Co,Buy,12/12/2019,8000,Com,168.56,46,147.24,166.7,174.02,,,,,,
Rohit Khanna,CA,Congress,Democratic,XOM,XOM US,US,Exxon Mobil Corp,Buy,12/12/2019,8000,Com NPV,70.34,112,41.98,53.52,43.8,,,,,,
Alan Lowenthal,CA,Congress,Democratic,COLD,COLD US,US,Americold Realty Trust,Buy,12/11/2019,32500,Com,35.03,926,31.2,35.68,33.63,,,,,,
Joshua Gottheimer,NJ,Congress,Democratic,BMRN,BMRN US,US,Biomarin Pharmaceutical Inc,Buy,12/11/2019,8000,Com,78.77,100,89.32,106.87,77.76,,,,,,
Rohit Khanna,CA,Congress,Democratic,DCP,DCP US,US,DCP Midstream LP,Buy,12/11/2019,8000,Stock Unit,24.25,328,7.2,16.22,20.96,,,,,,
Rohit Khanna,CA,Congress,Democratic,PAA,PAA US,US,Plains All American Pipeline Lp,Buy,12/11/2019,8000,Stock Unit,17.53,456,8.82,12.25,8.86,,,,,,
Rohit Khanna,CA,Congress,Democratic,URBN,URBN US,US,Urban Outfitters Inc,Buy,12/11/2019,16001,Com,26.59,600,17.1,21.29,27.19,,,,,,
Gerald Connolly,VA,Congress,Democratic,ERH,ERH US,US,Wells Fargo Utilities & High Income Fund,Buy,12/10/2019,8000,Com NPV,13.78,580,14.38,13.97,12.9,,,,,,
Joshua Gottheimer,NJ,Congress,Democratic,RHP,RHP US,US,Ryman Hospitality Properties Inc,Buy,12/10/2019,8000,Com,85.49,92,48.88,48.2,66.97,,,,,,
Kenneth Conaway,TX,Congress,Republican,GSLC,GSLC US,US,Goldman Sachs Activebeta U.S. Large Cap Equity Etf,Buy,12/10/2019,32500,Com,63.11,514,56.02,65.05,73.9,,,,,,
Lloyd Doggett,TX,Congress,Democratic,IBM,IBM US,US,International Business Machines Corp,Buy,12/10/2019,8000,Com,127.91,62,112.53,129.66,121.11,,,,,,
Rohit Khanna,CA,Congress,Democratic,URBN,URBN US,US,Urban Outfitters Inc,Buy,12/10/2019,8000,Com,27.34,292,16.66,21.29,27.26,,,,,,
Rohit Khanna,CA,Congress,Democratic,EPD,EPD US,US,Enterprise Products Partners LP,Buy,12/9/2019,24001,Stock Unit,26.72,898,18.25,22.31,20.95,,,,,,
Virginia Foxx,NC,Congress,Republican,SO,SO US,US,Southern Co,Buy,12/9/2019,8000,Com,61.44,130,62.16,60.27,61,,,,,,
Gilbert Cisneros,CA,Congress,Democratic,CL,CL US,US,Colgate Palmolive Co,Buy,12/6/2019,8000,Com,68.24,116,72.34,71.65,85.39,,,,,,
Gilbert Cisneros,CA,Congress,Democratic,COTY,COTY US,US,Coty Inc,Buy,12/6/2019,8000,Com A,11.87,672,8.91,4.75,7.45,,,,,,
Gilbert Cisneros,CA,Congress,Democratic,DXC,DXC US,US,DXC Technology Co,Buy,12/6/2019,8000,Com,37.36,214,19.95,17.85,24.19,,,,,,
Gilbert Cisneros,CA,Congress,Democratic,FCX,FCX US,US,Freeport-Mcmoran Inc,Buy,12/6/2019,8000,Com,11.64,686,9.99,10.14,24.58,,,,,,
Gilbert Cisneros,CA,Congress,Democratic,FOXA,FOXA US,US,Fox Corp,Buy,12/6/2019,8000,Com A,35.42,224,29.44,30.77,29.68,,,,,,
Gilbert Cisneros,CA,Congress,Democratic,GE,GE US,US,General Electric Co,Buy,12/6/2019,8000,Com,88.8,90,80.64,58.88,86.88,,,,,,
Gilbert Cisneros,CA,Congress,Democratic,IVZ,IVZ US,US,Invesco Ltd,Buy,12/6/2019,8000,Ord,16.79,476,13.42,9.15,18.02,,,,,,
Gilbert Cisneros,CA,Congress,Democratic,KHC,KHC US,US,Kraft Heinz Co,Buy,12/6/2019,8000,Com,31.09,256,26.65,31.31,33.6,,,,,,
Gilbert Cisneros,CA,Congress,Democratic,MAC,MAC US,US,Macerich Co,Buy,12/6/2019,8000,Com,27.17,294,20.33,8.59,11.63,,,,,,
Gilbert Cisneros,CA,Congress,Democratic,WBA,WBA US,US,Walgreens Boots Alliance Inc,Buy,12/6/2019,8000,Com,58.63,136,48.78,43.61,42.43,,,,,,
Gilbert Cisneros,CA,Congress,Democratic,WFC,WFC US,US,Wells Fargo & Co,Buy,12/6/2019,8000,Com,54.37,146,38.9,28.83,29.34,,,,,,
John Boozman,AR,Senate,Republican,VNQ,VNQ MM,MM,Vanguard Real Estate Index Fund,Buy,12/6/2019,8000,Com,92.87,86,92.26,82.42,85.67,,,,,,
Joshua Gottheimer,NJ,Congress,Democratic,BABA,9988 HK,HK,Alibaba Group Holding Ltd,Buy,12/6/2019,8000,DR,201.89,38,211.46,218.61,264,,,,,,
Joshua Gottheimer,NJ,Congress,Democratic,VCYT,VCYT US,US,Veracyte Inc,Buy,12/6/2019,8000,Com,29.18,274,24.76,25.9,61.88,,,,,,
Rohit Khanna,CA,Congress,Democratic,URBN,URBN US,US,Urban Outfitters Inc,Buy,12/6/2019,16001,Com,26.12,612,19.73,19.64,27.6,,,,,,
Rohit Khanna,CA,Congress,Democratic,ALB,ALB US,US,Albemarle Corp,Buy,12/5/2019,8000,Com,63.68,124,86.27,78.59,139.22,,,,,,
Rohit Khanna,CA,Congress,Democratic,PAA,PAA US,US,Plains All American Pipeline Lp,Buy,12/5/2019,16001,Stock Unit,17.02,940,13.74,10.17,9.68,,,,,,
Thomas Carper,DE,Senate,Democratic,LGI,LGI US,US,Lazard Global Total Return & Income Fund Inc,Buy,12/5/2019,8000,Com,15.91,502,15.58,14.19,17.51,,,,,,
Dean Phillips,MN,Congress,Democratic,ETN,ETN US,US,Eaton Corp Plc,Buy,12/3/2019,8000,Com NPV,91.4,86,95.68,84.66,118.92,,,,,,
Kenneth Conaway,TX,Congress,Republican,GSLC,GSLC US,US,Goldman Sachs Activebeta U.S. Large Cap Equity Etf,Buy,12/3/2019,40501,Com,62.44,648,62.5,62.15,73.82,,,,,,
Kenneth Conaway,TX,Congress,Republican,SDY,SDY US,US,SPDR S&P Dividend ETF,Buy,12/3/2019,32500,Com,104.9,308,99.23,91.61,104.86,,,,,,
Kenneth Conaway,TX,Congress,Republican,VIG,VIG US,US,Vanguard Dividend Appreciation FTF,Buy,12/3/2019,65001,Com,120.81,538,120.16,117.75,138.92,,,,,,
Roger Marshall,KS,Congress,Republican,BABA,9988 HK,HK,Alibaba Group Holding Ltd,Buy,12/3/2019,8000,DR,194.9,40,210.98,206.57,261.32,,,,,,
Rohit Khanna,CA,Congress,Democratic,URBN,URBN US,US,Urban Outfitters Inc,Buy,12/3/2019,8000,Com,24.31,328,23.02,17.32,28.21,,,,,,
Dean Phillips,MN,Congress,Democratic,ETN,ETN US,US,Eaton Corp Plc,Buy,12/2/2019,8000,Com NPV,91.98,86,95.68,84.66,120.7,,,,,,
Dean Phillips,MN,Congress,Democratic,SIVB,SIVB US,US,SVB Financial Group,Buy,12/2/2019,8000,Pref A,229.79,34,216.75,212.81,355.17,,,,,,
Roger Marshall,KS,Congress,Republican,AAPL,AAPL US,US,Apple Inc,Buy,12/2/2019,8000,Com NPV,66.04,120,74.7,80.46,122.72,,,,,,
Rohit Khanna,CA,Congress,Democratic,URBN,URBN US,US,Urban Outfitters Inc,Buy,12/2/2019,8000,Com,25.31,316,23.02,17.32,27.37,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,REG,REG US,US,Regency Centers Corp,Buy,11/29/2019,32500,Com,65.04,498,58.46,45.85,45.58,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,K,K US,US,Kellogg Co,Buy,11/26/2019,32500,Com,65.49,496,64.5,62.12,63.26,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,PCRX,PCRX US,US,Pacira Biosciences Inc,Buy,11/21/2019,32500,Com,44.08,736,50.7,42.59,66.26,,,,,,
Thomas Suozzi,NY,Congress,Democratic,TIP,TIP US,US,BTC iShares TIPS Bond ETF ,Buy,11/18/2019,175000,Stock Unit,116.06,1506,118.8,121.54,125.37,,,,,,
Thomas Suozzi,NY,Congress,Democratic,DAN,DAN US,US,Dana Inc,Buy,11/15/2019,8000,Com,16.77,476,17.91,9.2,17.39,,,,,,
Thomas Suozzi,NY,Congress,Democratic,IP,IP US,US,International Paper Co,Buy,11/15/2019,8000,Com,43.22,184,41.14,29.21,47.3,,,,,,
Thomas Suozzi,NY,Congress,Democratic,NVDA,NVDA US,US,NVIDIA Corp,Buy,11/15/2019,8000,Com,51.05,156,67.69,77.8,135.15,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,LL,LL US,US,Lumber Liquidators Holdings Inc,Buy,11/15/2019,8000,Com,8.93,894,7.69,7.13,26.52,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,YEXT,YEXT US,US,Yext Inc,Buy,11/14/2019,8000,Com,16.21,492,15.9,14.07,18.04,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,ZUO,ZUO US,US,Zuora Inc,Buy,11/14/2019,8000,Com A,14.66,544,15.82,11.49,10.34,,,,,,
Thomas Suozzi,NY,Congress,Democratic,DIS,DIS US,US,Walt Disney Co,Buy,11/13/2019,8000,Com,148.72,52,141.01,107.77,135.52,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,TRHC,TRHC US,US,Tabula Rasa Healthcare Inc,Buy,11/13/2019,8000,Com,42.26,188,63.41,58.19,34.49,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,YEXT,YEXT US,US,Yext Inc,Buy,11/13/2019,32500,Com,16.47,1972,16.21,14.68,17.99,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,ZUO,ZUO US,US,Zuora Inc,Buy,11/13/2019,8000,Com A,14.79,540,15.56,11.53,10.26,,,,,,
Thomas Suozzi,NY,Congress,Democratic,AXP,AXP US,US,American Express Co,Buy,11/12/2019,8000,Com,120.89,66,132.24,85.33,111.12,,,,,,
Thomas Suozzi,NY,Congress,Democratic,COP,COP US,US,ConocoPhillips,Buy,11/12/2019,8000,Com,58.23,136,57.87,42.27,35.28,,,,,,
Thomas Suozzi,NY,Congress,Democratic,OVV,OVV CN,CN,Ovintiv Inc,Buy,11/12/2019,8000,Com NPV,22.55,354,16.36,5.86,10.89,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,TRHC,TRHC US,US,Tabula Rasa Healthcare Inc,Buy,11/7/2019,8000,Com,50.05,158,61.73,57.18,35.15,,,,,,
Cynthia Axne,IA,Congress,Democratic,PGR,PGR US,US,Progressive Corp,Buy,11/6/2019,16001,Com,70.93,224,80.92,75.85,97.29,,,,,,
Roger Marshall,KS,Congress,Republican,YETI,YETI US,US,Yeti Holdings Inc,Buy,11/6/2019,8000,Com,30.73,260,37.91,26.5,59.91,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,POST,POST US,US,Post Holdings Inc,Buy,10/25/2019,32500,Com,101.59,318,110.25,91.03,91.34,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,BRBR,BRBR US,US,Bellring Brands Inc,Buy,10/24/2019,8000,Com A,16.3,490,22.78,15.66,20.97,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,CSLT,CSLT US,US,Castlight Health Inc,Buy,10/24/2019,8000,Com B,1.6,5000,1.42,0.66,0.94,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,CSLT,CSLT US,US,Castlight Health Inc,Buy,10/22/2019,8000,Com B,1.5,5332,1.38,0.69,0.92,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,PTON,PTON US,US,Peloton Interactive Inc,Buy,10/22/2019,8000,Com A,21.16,378,32,31.07,124.3,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,BRBR,BRBR US,US,Bellring Brands Inc,Buy,10/21/2019,32500,Com A,16.68,1948,22.95,15.61,21.18,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,CSLT,CSLT US,US,Castlight Health Inc,Buy,10/21/2019,8000,Com B,1.49,5368,1.38,0.69,0.92,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,POOL,POOL US,US,Pool Corp,Buy,10/17/2019,32500,Com,212.97,152,217.03,195.34,359.44,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,CSLT,CSLT US,US,Castlight Health Inc,Buy,10/16/2019,8000,Com B,1.46,5478,1.41,0.76,1.05,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,CSLT,CSLT US,US,Castlight Health Inc,Buy,10/15/2019,8000,Com B,1.41,5672,1.49,0.76,1.04,,,,,,
Cynthia Axne,IA,Congress,Democratic,UNH,UNH US,US,UnitedHealth Group ,Buy,10/4/2019,8000,Com,219.8,36,292.5,237.32,318.15,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,QSR,QSR CN,CN,Restaurant Brands International Inc,Buy,10/4/2019,32500,Com NPV,71.61,452,64.7,36.49,57.77,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,PTON,PTON US,US,Peloton Interactive Inc,Buy,9/27/2019,32500,Com A,25.24,1286,27,24.52,96.91,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,PCRX,PCRX US,US,Pacira Biosciences Inc,Buy,9/26/2019,32500,Com,39.85,814,45.39,30.27,58.91,,,,,,
Gerald Moran,KS,Senate,Republican,AMZN,AMZN US,US,Amazon Com Inc,Buy,9/25/2019,8000,Com,1768.33,4,1789.21,1902.83,3019.79,,,,,,
Gerald Moran,KS,Senate,Republican,FB,FB US,US,Facebook Inc,Buy,9/25/2019,16001,Com A,182.8,86,205.12,148.1,249.53,,,,,,
Gerald Moran,KS,Senate,Republican,GILD,GILD US,US,Gilead Sciences Inc,Buy,9/25/2019,16001,Com,64.2,248,66.72,72.61,62.25,,,,,,
Gerald Moran,KS,Senate,Republican,INTC,INTC US,US,Intel Corp,Buy,9/25/2019,16001,Com,51.02,312,59.41,49.58,49.16,,,,,,
Gerald Moran,KS,Senate,Republican,JNJ,JNJ US,US,Johnson & Johnson,Buy,9/25/2019,16001,Com,130.99,122,145.93,111.14,144.67,,,,,,
