REP_FULLNAME,REP_STATE,REP_TYPE,REP_PARTY,COMPANY_TICKER,COMPANY_CODE,COMPANY_COUNTRY,COMPANY_NAME,TRANSACTION_TYPE,TRANSACTION_DATE,TRANSACTION_PRICE,SHARE_TYPE,TRANSACTION_SHARE_PRICE,TRANSACTION_SHARE_QUANTITY,SHARE_PRICE_3_MONTH,SHARE_PRICE_6_MONTH,SHARE_PRICE_1_YEAR,PERCENT_CHANGE_3_MONTH,PERCENT_CHANGE_6_MONTH,PERCENT_CHANGE_12_MONTH
David Roe,TN,Congress,Republican,MMC,MMC US,US,Marsh & Mclennan Companies Inc,Buy,12/31/2020,8000,Com,117,68,121.8,140.94,#N/A,4.10,20.46,#N/A
David Roe,TN,Congress,Republican,MSFT,MSFT US,US,Microsoft Corp,Buy,12/31/2020,16001,Com,222.42,70,235.77,271.4,#N/A,6.00,22.02,#N/A
David Roe,TN,Congress,Republican,NOVN,NOVN SW,SW,Novartis AG,Buy,12/31/2020,8000,Ord,8.13,984,15.6,10.22,#N/A,91.88,25.71,#N/A
David Roe,TN,Congress,Republican,ORLY,ORLY US,US,O'Reilly Automotive Inc,Buy,12/31/2020,8000,Com,452.57,16,507.25,564.97,#N/A,12.08,24.84,#N/A
David Roe,TN,Congress,Republican,PG,PG US,US,Procter & Gamble Co,Buy,12/31/2020,8000,Com NPV,139.14,56,135.43,134.4,#N/A,-2.67,-3.41,#N/A
David Roe,TN,Congress,Republican,PH,PH US,US,Parker Hannifin Corp,Buy,12/31/2020,8000,Com,272.41,28,315.43,302.65,#N/A,15.79,11.10,#N/A
David Roe,TN,Congress,Republican,PSX,PSX US,US,Phillips 66,Buy,12/31/2020,8000,Com,69.94,114,81.54,85.11,#N/A,16.59,21.69,#N/A
David Roe,TN,Congress,Republican,ROK,ROK US,US,Rockwell Automation Inc,Buy,12/31/2020,16001,Com,250.81,62,265.44,283.58,#N/A,5.83,13.07,#N/A
David Roe,TN,Congress,Republican,RSG,RSG US,US,Republic Services Inc,Buy,12/31/2020,8000,Com,96.3,82,99.35,109.68,#N/A,3.17,13.89,#N/A
David Roe,TN,Congress,Republican,RTX,RTX US,US,Raytheon Technologies Corp,Buy,12/31/2020,8000,Com,71.51,110,77.27,84.44,#N/A,8.05,18.08,#N/A
David Roe,TN,Congress,Republican,SHW,SHW US,US,Sherwin Williams Co,Buy,12/31/2020,8000,Com,244.97,32,246,272.78,#N/A,0.42,11.35,#N/A
David Roe,TN,Congress,Republican,TFC,TFC US,US,Truist Financial Corp,Buy,12/31/2020,8000,Com,47.93,166,58.32,55.3,#N/A,21.68,15.38,#N/A
