REP_FULLNAME,REP_STATE,REP_TYPE,REP_PARTY,COMPANY_TICKER,COMPANY_CODE,COMPANY_COUNTRY,COMPANY_NAME,TRANSACTION_TYPE,TRANSACTION_DATE,TRANSACTION_PRICE,SHARE_TYPE,TRANSACTION_SHARE_PRICE,TRANSACTION_SHARE_QUANTITY,SHARE_PRICE_3_MONTH,SHARE_PRICE_6_MONTH,SHARE_PRICE_1_YEAR,PERCENT_CHANGE_3_MONTH,PERCENT_CHANGE_6_MONTH,PERCENT_CHANGE_12_MONTH,,,
John Hickenlooper,CO,Senate,Democratic,NOKIA,NOKIA FH,FH,Nokia Corp,Buy,6/3/2021,8000,Ord,4.54,1762,5.10,4.92,#N/A,12.33,8.37,#N/A,,,
Marjorie Greene,GA,Congress,Republican,SQ,SQ US,US,Square Inc,Buy,6/3/2021,8000,Com A,211.43,36,268.25,208.33,#N/A,26.87,-1.47,#N/A,,,
Michael Mccaul,TX,Congress,Republican,BSX,BSX US,US,Boston Scientific Corp,Buy,6/3/2021,107501,Com,41.35,2598,45.58,38.07,#N/A,10.23,-7.93,#N/A,,,
Michael Mccaul,TX,Congress,Republican,UPS,UPS US,US,United Parcel Service Inc,Buy,6/3/2021,65001,Com B,211.98,306,196.40,198.37,#N/A,-7.35,-6.42,#N/A,,,
Rohit Khanna,CA,Congress,Democratic,MNDT,MNDT US,US,Mandiant Inc,Buy,6/3/2021,8000,Com,18.56,430,18.28,16.97,#N/A,-1.51,-8.57,#N/A,,,
Thomas Suozzi,NY,Congress,Democratic,AAPL,AAPL US,US,Apple Inc,Buy,6/3/2021,75000,Com NPV,123.54,606,152.51,165.30,#N/A,23.45,33.80,#N/A,,,
Thomas Suozzi,NY,Congress,Democratic,AI,AI US,US,C3.ai Inc,Buy,6/3/2021,32500,Com A,68.26,476,53.11,36.96,#N/A,-22.19,-45.85,#N/A,,,
Thomas Suozzi,NY,Congress,Democratic,BK,BK US,US,Bank Of New York Mellon Corp,Buy,6/3/2021,75000,Com,52.2,1436,54.40,54.79,#N/A,4.21,4.96,#N/A,,,
Thomas Suozzi,NY,Congress,Democratic,BSCL,BSCL US,US,Invesco Capital Management LLC,Buy,6/3/2021,32500,Unit,21.12,1538,21.09,21.08,#N/A,-0.14,-0.19,#N/A,,,
Thomas Suozzi,NY,Congress,Democratic,CIBR,CIBR US,US,First Trust NASDAQ Cybersecurity ETF,Buy,6/3/2021,32500,Stock Unit,43.62,744,51.67,51.84,#N/A,18.45,18.84,#N/A,,,
Thomas Suozzi,NY,Congress,Democratic,CRSP,CRSP US,US,Crispr Therapeutics Ag,Buy,6/3/2021,75000,Com,109.83,682,126.36,79.90,#N/A,15.05,-27.25,#N/A,,,
Thomas Suozzi,NY,Congress,Democratic,F,F US,US,Ford Motor Co,Buy,6/3/2021,32500,Com,15.99,2032,13.11,19.19,#N/A,-18.01,20.01,#N/A,,,
Thomas Suozzi,NY,Congress,Democratic,FINX,FINX US,US,Global X Funds Global X FinTech ETF,Buy,6/3/2021,32500,Com,44.73,726,51.95,45.64,#N/A,16.14,2.03,#N/A,,,
Thomas Suozzi,NY,Congress,Democratic,IBUY,IBUY US,US,Amplify Online Retail ETF,Buy,6/3/2021,32500,Stock Unit,120.75,268,117.54,98.60,#N/A,-2.66,-18.34,#N/A,,,
Thomas Suozzi,NY,Congress,Democratic,LRNZ,LRNZ US,US,Listed Funds Trust,Buy,6/3/2021,32500,Stock Unit,40.96,792,49.62,50.38,#N/A,21.14,23.00,#N/A,,,
Thomas Suozzi,NY,Congress,Democratic,MGM,MGM US,US,MGM Resorts International,Buy,6/3/2021,32500,Com,42.55,762,42.20,39.58,#N/A,-0.82,-6.98,#N/A,,,
Thomas Suozzi,NY,Congress,Democratic,WCLD,WCLD US,US,WisdomTree Trust,Buy,6/3/2021,75000,Stock Unit,48.56,1544,61.63,56.29,#N/A,26.92,15.92,#N/A,,,
John Hickenlooper,CO,Senate,Democratic,MRK,MRK US,US,Merck & Co Inc,Transfer Out,6/2/2021,8000,Com,72.34,110,76.29,74.89,#N/A,5.46,3.53,#N/A,,,
John Hickenlooper,CO,Senate,Democratic,OGN,OGN US,US,Organon & Co,Buy,6/2/2021,8000,Com,35.26,226,33.89,30.62,#N/A,-3.89,-13.16,#N/A,,,
Lois Frankel,FL,Congress,Democratic,PGR,PGR US,US,Progressive Corp,Buy,6/2/2021,8000,Com,100.47,78,96.34,94.97,#N/A,-4.11,-5.47,#N/A,,,
Michael Mccaul,TX,Congress,Republican,ANTM,ANTM US,US,Anthem Inc,Buy,6/2/2021,150001,Com,393.47,380,375.13,416.22,#N/A,-4.66,5.78,#N/A,,,
Michael Mccaul,TX,Congress,Republican,CNXC,CNXC US,US,Concentrix Corp,Buy,6/2/2021,65001,Com,151.11,430,173.39,173.49,#N/A,14.74,14.81,#N/A,,,
Thomas Suozzi,NY,Congress,Democratic,SPLK,SPLK US,US,Splunk Inc,Buy,6/2/2021,32500,Com,123.79,262,152.87,125.00,#N/A,23.49,0.98,#N/A,,,
Rohit Khanna,CA,Congress,Democratic,DG,DG US,US,Dollar General Corp,Buy,6/1/2021,8000,Com,201.42,38,225.36,225.07,#N/A,11.89,11.74,#N/A,,,
Rohit Khanna,CA,Congress,Democratic,ROP,ROP US,US,Roper Technologies Inc,Buy,6/1/2021,8000,Com,448.42,16,482.65,481.48,#N/A,7.63,7.37,#N/A,,,
Diana Harshbarger,TN,Congress,Republican,AD,AD NA,NA,Koninklijke Ahold Delhaize Nv,Buy,5/28/2021,32002,Ord,23.84,1342,28.70,30.53,#N/A,20.39,28.06,#N/A,,,
Diana Harshbarger,TN,Congress,Republican,ADBE,ADBE US,US,Adobe Inc,Buy,5/28/2021,8000,Com,504.58,14,652.39,668.32,#N/A,29.29,32.45,#N/A,,,
Diana Harshbarger,TN,Congress,Republican,GOOGL,GOOGL US,US,Alphabet Inc,Buy,5/28/2021,8000,Com C NPV,2356.85,2,2828.81,2922.40,#N/A,20.03,24.00,#N/A,,,
Diana Harshbarger,TN,Congress,Republican,LLY,LLY US,US,Eli Lilly & Co,Buy,5/28/2021,8000,Com NPV,199.74,40,261.32,262.00,#N/A,30.83,31.17,#N/A,,,
Diana Harshbarger,TN,Congress,Republican,NLOK,NLOK US,US,NortonLifeLock Inc,Buy,5/28/2021,8000,Com,27.66,288,26.71,25.20,#N/A,-3.43,-8.89,#N/A,,,
Diana Harshbarger,TN,Congress,Republican,ORLY,ORLY US,US,O'Reilly Automotive Inc,Buy,5/28/2021,8000,Com,535.12,14,600.28,646.51,#N/A,12.18,20.82,#N/A,,,
Diana Harshbarger,TN,Congress,Republican,ROST,ROST US,US,Ross Stores Inc,Buy,5/28/2021,16001,Com,126.39,126,119.25,115.51,#N/A,-5.65,-8.61,#N/A,,,
Diana Harshbarger,TN,Congress,Republican,SPGI,SPGI US,US,S&P Global Inc,Buy,5/28/2021,8000,Com,379.47,20,437.16,463.53,#N/A,15.20,22.15,#N/A,,,
Diana Harshbarger,TN,Congress,Republican,TMO,TMO US,US,Thermo Fisher Scientific Inc,Buy,5/28/2021,32002,Com,469.5,68,552.77,633.00,#N/A,17.74,34.82,#N/A,,,
Douglas Lamborn,CO,Congress,Republican,NTAP,NTAP US,US,NetApp Inc,Buy,5/28/2021,105502,Com NPV,77.37,1362,86.15,89.78,#N/A,11.35,16.04,#N/A,,,
Earl Blumenauer,OR,Congress,Democratic,AZO,AZO US,US,Autozone Inc,Buy,5/28/2021,8000,Com,1406.6,4,1588.90,1855.05,#N/A,12.96,31.88,#N/A,,,
Joshua Gottheimer,NJ,Congress,Democratic,DE,DE US,US,Deere & Co,Buy,5/28/2021,8000,Com,361.1,22,379.81,367.86,#N/A,5.18,1.87,#N/A,,,
Joshua Gottheimer,NJ,Congress,Democratic,FB,FB US,US,Facebook Inc,Buy,5/28/2021,8000,Com A,328.73,24,364.38,341.06,#N/A,10.84,3.75,#N/A,,,
Joshua Gottheimer,NJ,Congress,Democratic,GOOGL,GOOGL US,US,Alphabet Inc,Buy,5/28/2021,8000,Com A NPV,2356.85,2,2828.81,2922.40,#N/A,20.03,24.00,#N/A,,,
Mark Green,TN,Congress,Republican,ENLC,ENLC US,US,Enlink Midstream Llc,Buy,5/28/2021,32500,Stock Unit,4.88,6658,5.30,7.32,#N/A,8.61,50.00,#N/A,,,
David Mckinley,VA,Congress,Republican,SWK,SWK US,US,Stanley Black & Decker Inc,Buy,5/27/2021,8000,Com,214.38,36,194.18,189.50,#N/A,-9.42,-11.61,#N/A,,,
Diana Harshbarger,TN,Congress,Republican,AMZN,AMZN US,US,Amazon Com Inc,Buy,5/27/2021,8000,Com,3230.11,2,3299.18,3580.04,#N/A,2.14,10.83,#N/A,,,
Diana Harshbarger,TN,Congress,Republican,ATVI,ATVI US,US,Activision Blizzard Inc,Buy,5/27/2021,8000,Com,97.25,82,80.81,61.77,#N/A,-16.90,-36.48,#N/A,,,
Diana Harshbarger,TN,Congress,Republican,GNRC,GNRC US,US,Generac Holdings Inc,Buy,5/27/2021,8000,Com,326.22,24,425.87,432.83,#N/A,30.55,32.68,#N/A,,,
Lois Frankel,FL,Congress,Democratic,PGR,PGR US,US,Progressive Corp,Buy,5/27/2021,8000,Com,99.15,80,96.22,94.52,#N/A,-2.96,-4.67,#N/A,,,
Mark Green,TN,Congress,Republican,CAPL,CAPL US,US,CrossAmerica Partners LP,Buy,5/27/2021,375000,Stock Unit,18.83,19914,18.93,19.84,#N/A,0.53,5.36,#N/A,,,
Mark Green,TN,Congress,Republican,ENLC,ENLC US,US,Enlink Midstream Llc,Buy,5/27/2021,32500,Stock Unit,4.87,6672,5.44,7.27,#N/A,11.70,49.28,#N/A,,,
Mark Green,TN,Congress,Republican,ET,ET US,US,Energy Transfer Lp,Buy,5/27/2021,175000,Stock Unit,10.01,17482,9.48,8.95,#N/A,-5.29,-10.59,#N/A,,,
Mark Green,TN,Congress,Republican,SHLX,SHLX US,US,Shell Midstream Partners LP,Buy,5/27/2021,75000,Stock Unit,14.76,5080,12.14,11.81,#N/A,-17.75,-19.99,#N/A,,,
Michael Mccaul,TX,Congress,Republican,MS,MS US,US,Morgan Stanley,Buy,5/27/2021,250001,Com,90.3,2768,104.09,101.86,#N/A,15.27,12.80,#N/A,,,
Patrick Fallon,TX,Congress,Republican,CVX,CVX US,US,Chevron Corp,Buy,5/27/2021,175000,Com,103.01,1698,98.51,116.30,#N/A,-4.37,12.90,#N/A,,,
Patrick Fallon,TX,Congress,Republican,DE,DE US,US,Deere & Co,Buy,5/27/2021,175000,Com,362.21,482,376.37,349.28,#N/A,3.91,-3.57,#N/A,,,
Patrick Fallon,TX,Congress,Republican,FDX,FDX US,US,Fedex Corp,Buy,5/27/2021,175000,Com,315.59,554,270.37,246.43,#N/A,-14.33,-21.91,#N/A,,,
Patrick Fallon,TX,Congress,Republican,LUV,LUV US,US,Southwest Airlines Co,Buy,5/27/2021,175000,Com,61.73,2834,51.25,46.98,#N/A,-16.98,-23.89,#N/A,,,
Susie Lee,NV,Congress,Democratic,COMM,COMM US,US,Commscope Holding Company Inc,Buy,5/27/2021,8000,Com,20.18,396,15.81,10.64,#N/A,-21.66,-47.27,#N/A,,,
Susie Lee,NV,Congress,Democratic,SYF,SYF US,US,Synchrony Financial,Buy,5/27/2021,8000,Com,47.7,166,51.42,49.71,#N/A,7.80,4.21,#N/A,,,
Virginia Foxx,NC,Congress,Republican,NHI,NHI US,US,National Health Investors Inc,Buy,5/27/2021,32500,Com,65.56,494,60.83,55.17,#N/A,-7.21,-15.85,#N/A,,,
Susie Lee,NV,Congress,Democratic,SWK,SWK US,US,Stanley Black & Decker Inc,Buy,5/27/2021,8000,Com,214.38,36,194.18,189.50,#N/A,-9.42,-11.61,#N/A,,,
Dwight Evans,PA,Congress,Democratic,CE,CE US,US,Celanese Corp,Buy,5/26/2021,8000,Com A,163.95,48,157.44,166.00,#N/A,-3.97,1.25,#N/A,,,
Dwight Evans,PA,Congress,Democratic,CSX,CSX US,US,CSX Corp,Buy,5/26/2021,8000,Com,33.48,238,33.37,36.05,#N/A,-0.33,7.68,#N/A,,,
Dwight Evans,PA,Congress,Democratic,LMT,LMT US,US,Lockheed Martin Corp,Buy,5/26/2021,8000,Com,384.13,20,359.00,344.98,#N/A,-6.54,-10.19,#N/A,,,
Dwight Evans,PA,Congress,Democratic,LUV,LUV US,US,Southwest Airlines Co,Buy,5/26/2021,8000,Com,61.21,130,50.81,47.72,#N/A,-16.99,-22.04,#N/A,,,
Dwight Evans,PA,Congress,Democratic,PWR,PWR US,US,Quanta Services Inc,Buy,5/26/2021,8000,Com,94.3,84,99.05,120.57,#N/A,5.04,27.86,#N/A,,,
Kevin Hern,OK,Congress,Republican,CDNS,CDNS US,US,Cadence Design Systems Inc,Buy,5/26/2021,175000,Com,126.83,1378,158.58,184.51,#N/A,25.03,45.48,#N/A,,,
Kevin Hern,OK,Congress,Republican,OKE,OKE US,US,Oneok Inc,Buy,5/26/2021,8000,Com NPV,52.51,152,52.96,61.94,#N/A,0.86,17.96,#N/A,,,
Kevin Hern,OK,Congress,Republican,PRGS,PRGS US,US,Progress Software Corp,Buy,5/26/2021,75000,Com,44.61,1680,45.43,51.54,#N/A,1.84,15.53,#N/A,,,
Kevin Hern,OK,Congress,Republican,PTC,PTC US,US,Ptc Inc,Buy,5/26/2021,75000,Com,132.89,564,131.26,115.93,#N/A,-1.23,-12.76,#N/A,,,
Lois Frankel,FL,Congress,Democratic,PGR,PGR US,US,Progressive Corp,Buy,5/26/2021,8000,Com,98.4,80,96.63,92.05,#N/A,-1.80,-6.45,#N/A,,,
Mark Green,TN,Congress,Republican,CAPL,CAPL US,US,CrossAmerica Partners LP,Buy,5/26/2021,175000,Stock Unit,18.25,9588,18.59,19.50,#N/A,1.86,6.85,#N/A,,,
Mark Green,TN,Congress,Republican,ENLC,ENLC US,US,Enlink Midstream Llc,Buy,5/26/2021,175000,Stock Unit,4.75,36842,5.39,6.95,#N/A,13.47,46.32,#N/A,,,
Mark Green,TN,Congress,Republican,SHLX,SHLX US,US,Shell Midstream Partners LP,Buy,5/26/2021,375000,Stock Unit,15.2,24670,11.77,11.66,#N/A,-22.57,-23.29,#N/A,,,
Michael Mccaul,TX,Congress,Republican,AMZN,AMZN US,US,Amazon Com Inc,Buy,5/26/2021,250001,Com,3265.16,76,3305.78,3572.57,#N/A,1.24,9.41,#N/A,,,
Patrick Fallon,TX,Congress,Republican,AAL,AAL US,US,American Airlines Group Inc,Buy,5/26/2021,75000,Com,23.9,3138,19.83,19.63,#N/A,-17.03,-17.87,#N/A,,,
Patrick Fallon,TX,Congress,Republican,MSFT,MSFT US,US,Microsoft Corp,Buy,5/26/2021,375000,Com,251.49,1490,302.62,339.83,#N/A,20.33,35.13,#N/A,,,
Susie Lee,NV,Congress,Democratic,BFAM,BFAM US,US,Bright Horizons Family Solutions Inc,Buy,5/26/2021,8000,Com,136.8,58,143.55,123.90,#N/A,4.93,-9.43,#N/A,,,
Susie Lee,NV,Congress,Democratic,CARR,CARR US,US,Carrier Global Corp,Buy,5/26/2021,8000,Ord,44.72,178,56.61,56.41,#N/A,26.59,26.14,#N/A,,,
Susie Lee,NV,Congress,Democratic,CLVT,CLVT US,US,Clarivate Plc,Buy,5/26/2021,8000,Ord,29.51,270,24.42,23.06,#N/A,-17.25,-21.86,#N/A,,,
Susie Lee,NV,Congress,Democratic,COMM,COMM US,US,Commscope Holding Company Inc,Buy,5/26/2021,8000,Com,19.43,410,15.85,9.80,#N/A,-18.43,-49.56,#N/A,,,
Susie Lee,NV,Congress,Democratic,CZR,CZR US,US,Caesars Entertainment Inc,Buy,5/26/2021,8000,Com,106.6,74,93.86,94.37,#N/A,-11.95,-11.47,#N/A,,,
Susie Lee,NV,Congress,Democratic,FOUR,FOUR US,US,Shift4 Payments Inc,Buy,5/26/2021,8000,Com A,93.62,84,85.54,55.02,#N/A,-8.63,-41.23,#N/A,,,
Susie Lee,NV,Congress,Democratic,LYV,LYV US,US,Live Nation Entertainment Inc,Buy,5/26/2021,8000,Com,90.3,88,85.74,112.11,#N/A,-5.05,24.15,#N/A,,,
Susie Lee,NV,Congress,Democratic,PANW,PANW US,US,Palo Alto Networks Inc,Buy,5/26/2021,8000,Com,367.77,20,441.87,539.96,#N/A,20.15,46.82,#N/A,,,
Susie Lee,NV,Congress,Democratic,PFGC,PFGC US,US,Performance Food Group Co,Buy,5/26/2021,8000,Com,50,160,46.08,45.48,#N/A,-7.84,-9.04,#N/A,,,
Susie Lee,NV,Congress,Democratic,PHM,PHM US,US,Pultegroup Inc,Buy,5/26/2021,8000,Com,57.62,138,53.59,52.42,#N/A,-6.99,-9.02,#N/A,,,
Susie Lee,NV,Congress,Democratic,PLNT,PLNT US,US,Planet Fitness Inc,Buy,5/26/2021,8000,Com A,80.24,98,77.51,88.99,#N/A,-3.40,10.90,#N/A,,,
Susie Lee,NV,Congress,Democratic,SYF,SYF US,US,Synchrony Financial,Buy,5/26/2021,8000,Com,46.75,170,50.21,48.35,#N/A,7.40,3.42,#N/A,,,
Susie Lee,NV,Congress,Democratic,TDY,TDY US,US,Teledyne Technologies Inc,Buy,5/26/2021,8000,Com,409.37,18,455.96,438.76,#N/A,11.38,7.18,#N/A,,,
Trey Hollingsworth,IN,Congress,Republican,MMP,MMP US,US,Magellan Midstream Partners Lp,Buy,5/26/2021,32500,Stock Unit,48.87,664,47.77,47.29,#N/A,-2.25,-3.23,#N/A,,,
Austin Scott,GA,Congress,Republican,NVVE,NVVE US,US,Nuvve Holding Corp,Buy,5/25/2021,8000,Com,9.78,816,9.95,16.84,#N/A,1.74,72.19,#N/A,,,
Gary Peters,MI,Senate,Democratic,SPG,SPG US,US,Simon Property Group Inc,Buy,5/25/2021,8000,Com,124.4,64,129.46,167.99,#N/A,4.07,35.04,#N/A,,,
Michael Mccaul,TX,Congress,Republican,CVX,CVX US,US,Chevron Corp,Buy,5/25/2021,207501,Com,103.87,1996,96.73,113.91,#N/A,-6.87,9.67,#N/A,,,
Michael Mccaul,TX,Congress,Republican,HLF,HLF US,US,Herbalife Nutrition Ltd,Buy,5/25/2021,150001,Com,52.24,2870,49.64,40.00,#N/A,-4.98,-23.43,#N/A,,,
Robert Gibbs,OH,Congress,Republican,STM,STM FP,FP,STMicroelectronics,Buy,5/25/2021,16001,Ord,37.03,432,43.16,50.69,#N/A,16.55,36.89,#N/A,,,
Trey Hollingsworth,IN,Congress,Republican,MMP,MMP US,US,Magellan Midstream Partners Lp,Buy,5/25/2021,65001,Stock Unit,48.52,1338,47.26,47.29,#N/A,-2.60,-2.54,#N/A,,,
Kathy Castor,FL,Congress,Democratic,BRKB,BRKB US,US,Berkshire Hathaway Inc,Buy,5/21/2021,8000,Com B,2171.5,2,2330.00,2740.50,#N/A,7.30,26.20,#N/A,,,
Kevin Hern,OK,Congress,Republican,ADBE,ADBE US,US,Adobe Inc,Buy,5/21/2021,375000,Com,488.07,768,637.66,670.67,#N/A,30.65,37.41,#N/A,,,
Michael Mccaul,TX,Congress,Republican,SSD,SSD US,US,Simpson Manufacturing Co Inc,Buy,5/21/2021,65001,Com,112.27,578,110.66,119.99,#N/A,-1.43,6.88,#N/A,,,
Michael Mccaul,TX,Congress,Republican,UTHR,UTHR US,US,United Therapeutics Corp,Buy,5/21/2021,40501,Com,188.72,214,201.05,199.41,#N/A,6.53,5.66,#N/A,,,
Patrick Fallon,TX,Congress,Republican,AMZN,AMZN US,US,Amazon Com Inc,Buy,5/21/2021,8000,Com,3203.08,2,3187.75,3549.00,#N/A,-0.48,10.80,#N/A,,,
Rohit Khanna,CA,Congress,Democratic,CSGP,CSGP US,US,Costar Group Inc,Buy,5/21/2021,8000,Com,83.87,94,82.16,82.57,#N/A,-2.04,-1.55,#N/A,,,
James Banks,IN,Congress,Republican,KR,KR US,US,Kroger Co,Buy,5/20/2021,8000,Com,36.36,220,46.26,41.69,#N/A,27.23,14.66,#N/A,,,
Joshua Gottheimer,NJ,Congress,Democratic,TLKM,TLKM IJ,IJ,Telekomunikasi Indonesia(Persero),Buy,5/20/2021,8000,Ord Ser B,3270,2,3390.00,3630.00,#N/A,3.67,11.01,#N/A,,,
Kevin Hern,OK,Congress,Republican,AHCO,AHCO US,US,AdaptHealth Corp,Buy,5/20/2021,24001,Com A,24.53,978,23.41,25.51,#N/A,-4.57,4.00,#N/A,,,
Kevin Hern,OK,Congress,Republican,BSX,BSX US,US,Boston Scientific Corp,Buy,5/20/2021,24001,Com,41.92,572,44.09,41.42,#N/A,5.18,-1.19,#N/A,,,
Kevin Hern,OK,Congress,Republican,EXAS,EXAS US,US,Exact Sciences Corp,Buy,5/20/2021,99002,Com,105.74,936,92.79,91.48,#N/A,-12.25,-13.49,#N/A,,,
Kevin Hern,OK,Congress,Republican,IQV,IQV US,US,IQVIA Holdings Inc,Buy,5/20/2021,24001,Com,236.74,100,255.00,267.54,#N/A,7.71,13.01,#N/A,,,
Kevin Hern,OK,Congress,Republican,MTBC,MTBC US,US,CareCloud Inc,Buy,5/20/2021,56502,Com,8.42,6710,7.48,7.60,#N/A,-11.16,-9.74,#N/A,,,
Kevin Hern,OK,Congress,Republican,VUZI,VUZI US,US,Vuzix Corp,Buy,5/20/2021,24001,Com NPV,16.63,1442,11.84,15.69,#N/A,-28.80,-5.65,#N/A,,,
Mark Green,TN,Congress,Republican,ENLC,ENLC US,US,Enlink Midstream Llc,Buy,5/20/2021,8000,Stock Unit,4.94,1618,5.06,7.21,#N/A,2.43,45.95,#N/A,,,
Michael Mccaul,TX,Congress,Republican,UTHR,UTHR US,US,United Therapeutics Corp,Buy,5/20/2021,207501,Com,191.09,1084,203.37,203.24,#N/A,6.43,6.36,#N/A,,,
Joshua Gottheimer,NJ,Congress,Democratic,ORCL,ORCL US,US,Oracle Corp,Buy,5/19/2021,8000,Com,78.74,100,90.95,94.02,#N/A,15.51,19.41,#N/A,,,
Lois Frankel,FL,Congress,Democratic,CMCSA,CMCSA US,US,Comcast Corp,Buy,5/19/2021,8000,Com A,54.24,146,59.47,53.38,#N/A,9.64,-1.59,#N/A,,,
Marjorie Greene,GA,Congress,Republican,AMD,AMD US,US,Advanced Micro Devices Inc,Buy,5/19/2021,8000,Com,76.23,104,107.56,146.49,#N/A,41.10,92.17,#N/A,,,
Marjorie Greene,GA,Congress,Republican,BHP,BHP AU,AU,BHP Group Limited,Buy,5/19/2021,8000,Ord NPV,74.1,106,69.83,53.74,#N/A,-5.76,-27.48,#N/A,,,
Marjorie Greene,GA,Congress,Republican,SO,SO US,US,Southern Co,Buy,5/19/2021,8000,Com,63.98,124,66.45,62.20,#N/A,3.86,-2.78,#N/A,,,
Marjorie Greene,GA,Congress,Republican,STX,STX US,US,Seagate Technology Holdings Plc,Buy,5/19/2021,8000,Com,99.56,80,90.21,105.66,#N/A,-9.39,6.13,#N/A,,,
Marjorie Greene,GA,Congress,Republican,WMT,WMT US,US,Walmart Inc,Buy,5/19/2021,8000,Com,141.92,56,150.70,146.91,#N/A,6.19,3.52,#N/A,,,
Michael Mccaul,TX,Congress,Republican,LCII,LCII US,US,LCI Industries,Buy,5/19/2021,150001,Com,137.02,1094,146.33,154.06,#N/A,6.79,12.44,#N/A,,,
Rohit Khanna,CA,Congress,Democratic,MTCH,MTCH US,US,Match Group Inc,Buy,5/19/2021,8000,Com,138.84,56,130.97,148.42,#N/A,-5.67,6.90,#N/A,,,
Trey Hollingsworth,IN,Congress,Republican,MMP,MMP US,US,Magellan Midstream Partners Lp,Buy,5/19/2021,75000,Stock Unit,48.31,1552,48.34,49.37,#N/A,0.06,2.19,#N/A,,,
Joshua Gottheimer,NJ,Congress,Democratic,MSFT,MSFT US,US,Microsoft Corp,Buy,5/18/2021,207501,Com,243.08,852,294.60,336.07,#N/A,21.19,38.25,#N/A,,,
Kevin Hern,OK,Congress,Republican,EMR,EMR US,US,Emerson Electric Co,Buy,5/18/2021,375000,Com,94.22,3980,103.64,96.38,#N/A,10.00,2.29,#N/A,,,
Kevin Hern,OK,Congress,Republican,FCX,FCX US,US,Freeport-Mcmoran Inc,Buy,5/18/2021,175000,Com,43.63,4010,36.84,40.86,#N/A,-15.56,-6.35,#N/A,,,
Kevin Hern,OK,Congress,Republican,HON,HON US,US,Honeywell International Inc,Buy,5/18/2021,375000,Com,222.32,1686,233.74,222.47,#N/A,5.14,0.07,#N/A,,,
Kevin Hern,OK,Congress,Republican,ICLR,ICLR US,US,Icon,Buy,5/18/2021,175000,Ord,222.37,786,240.42,282.14,#N/A,8.12,26.88,#N/A,,,
Kevin Hern,OK,Congress,Republican,IQV,IQV US,US,IQVIA Holdings Inc,Buy,5/18/2021,175000,Com,230.58,758,255.29,251.81,#N/A,10.72,9.21,#N/A,,,
Kevin Hern,OK,Congress,Republican,NEE,NEE US,US,Nextera Energy Inc,Buy,5/18/2021,375000,Com,72.29,5186,83.95,87.34,#N/A,16.13,20.82,#N/A,,,
Kevin Hern,OK,Congress,Republican,ORLY,ORLY US,US,O'Reilly Automotive Inc,Buy,5/18/2021,175000,Com,548.07,318,603.90,649.76,#N/A,10.19,18.55,#N/A,,,
Kevin Hern,OK,Congress,Republican,ROK,ROK US,US,Rockwell Automation Inc,Buy,5/18/2021,375000,Com,261.39,1434,319.42,335.06,#N/A,22.20,28.18,#N/A,,,
Kevin Hern,OK,Congress,Republican,VUZI,VUZI US,US,Vuzix Corp,Buy,5/18/2021,32500,Com NPV,16.57,1960,12.28,14.61,#N/A,-25.89,-11.83,#N/A,,,
Lloyd Doggett,TX,Congress,Democratic,PG,PG US,US,Procter & Gamble Co,Buy,5/18/2021,8000,Com NPV,136.32,58,144.64,147.40,#N/A,6.10,8.13,#N/A,,,
Marjorie Greene,GA,Congress,Republican,NESN,NESN SW,SW,Nestlé SA,Buy,5/18/2021,8000,Ord B,109.42,72,114.64,123.10,#N/A,4.77,12.50,#N/A,,,
Marjorie Greene,GA,Congress,Republican,VMC,VMC US,US,Vulcan Materials Co,Buy,5/18/2021,8000,Com,190.06,42,187.79,201.94,#N/A,-1.19,6.25,#N/A,,,
Michael Mccaul,TX,Congress,Republican,AMZN,AMZN US,US,Amazon Com Inc,Buy,5/18/2021,107501,Com,3232.28,32,3298.99,3545.68,#N/A,2.06,9.70,#N/A,,,
Rohit Khanna,CA,Congress,Democratic,WBA,WBA US,US,Walgreens Boots Alliance Inc,Buy,5/18/2021,8000,Com,55.26,144,49.14,49.22,#N/A,-11.07,-10.93,#N/A,,,
William Keating,MA,Congress,Democratic,T,T US,US,AT&T Inc,Buy,5/18/2021,32500,Com,29.55,1098,28.20,24.80,#N/A,-4.57,-16.07,#N/A,,,
Marjorie Greene,GA,Congress,Republican,NEE,NEE US,US,Nextera Energy Inc,Buy,5/18/2021,8000,Com,72.29,110,83.95,87.34,#N/A,16.13,20.82,#N/A,,,
Kevin Hern,OK,Congress,Republican,TXN,TXN US,US,Texas Instruments Inc,Buy,5/17/2021,8000,Com,180.83,44,189.85,189.23,#N/A,4.99,4.65,#N/A,,,
Virginia Foxx,NC,Congress,Republican,PAA,PAA US,US,Plains All American Pipeline Lp,Buy,5/17/2021,8000,Stock Unit,10.45,764,9.73,10.59,#N/A,-6.89,1.34,#N/A,,,
Walter Schrader,OR,Congress,Democratic,VMC,VMC US,US,Vulcan Materials Co,Buy,5/17/2021,8000,Com,193.11,40,187.79,201.94,#N/A,-2.75,4.57,#N/A,,,
William Francis Hagerty,TN,Senate,Republican,TDY,TDY US,US,Teledyne Technologies Inc,Buy,5/17/2021,32500,Com,416.29,78,454.82,443.84,#N/A,9.26,6.62,#N/A,,,
